code,country,prefix,city,latitude,longitude
PL33,PL,33,Faściszowa,49.83356937086093,20.843280794701986
PL34,PL,34,Jordanów,49.65051096121417,19.858145868465428
PL35,PL,35,Rzeszów,50.032357396449704,22.012655029585797
PL36,PL,36,Rzeszów,49.99163547169812,22.0016720754717
PL37,PL,37,Wola Buchowska,50.12625,22.58341060209424
PL38,PL,38,Klimkówka,49.59079586666666,21.831002
PL39,PL,39,Przecław,50.18774235588972,21.472020551378446
PL40,PL,40,Katowice,50.24428370607029,19.01360095846645
PL41,PL,41,Chorzów,50.31218137254902,18.974488235294118
PL42,PL,42,Kamienica Polska,50.68652575757576,19.172669292929292
PL43,PL,43,Bronów,49.89737704280155,18.905851361867704
PL44,PL,44,Rybnik,50.16946916996048,18.511181818181818
PL45,PL,45,Opole,50.66350537190083,17.940062809917357
PL46,PL,46,Zameczek,50.93331903846154,18.107387884615385
PL47,PL,47,Kędzierzyn-Koźle,50.34672341040462,18.160164739884394
PL48,PL,48,Niemysłowice,50.35946787564767,17.551048704663213
PL49,PL,49,Jasiona,50.76141971153846,17.524797115384615
PL50,PL,50,Wrocław,51.131727878787885,16.99463090909091
PL51,PL,51,Wrocław,51.144259469696976,17.07125378787879
PL52,PL,52,Wrocław,51.061563313609476,17.02158698224852
PL53,PL,53,Wrocław,51.09549219858156,17.00574645390071
PL54,PL,54,Wrocław,51.13093877551021,16.93200357142857
PL55,PL,55,Wrocław,51.12980487804878,16.96109593495935
PL56,PL,56,Przedkowice,51.44374168157424,16.97965742397138
PL57,PL,57,Braszowice,50.554506776180695,16.812458110882957
PL58,PL,58,Wałbrzych,50.82722828282828,16.293100757575758
PL59,PL,59,Olszanica,51.21945119047619,15.80381380952381
PL60,PL,60,Poznań,52.40429932546375,16.888339460370993
PL61,PL,61,Poznań,52.39620595611285,16.94214858934169
PL62,PL,62,Poniatówek,52.271352342657345,17.90727646853147
PL63,PL,63,Rozdrażew,51.79319752407153,17.487557977991745
PL64,PL,64,Komorowo,52.51622286340395,16.48998568298028
PL65,PL,65,Zielona Góra,51.93701751412429,15.508023163841807
PL66,PL,66,Wielowieś,52.38334739819005,15.384965497737555
PL67,PL,67,Ceber,51.74149851632047,15.920134421364985
PL68,PL,68,Sieciejów,51.665329646017696,15.034430088495574
PL69,PL,69,Połęcko,52.38818829787234,14.86881489361702
PL70,PL,70,Szczecin,53.41043441295547,14.579894129554656
PL71,PL,71,Szczecin,53.452865289256195,14.535537190082644
PL72,PL,72,Buk,53.77282301480484,14.959667160161507
PL73,PL,73,Sierakowo,53.29479098712446,15.428963090128756
PL74,PL,74,Krusze,53.008770441458736,14.742180998080615
PL75,PL,75,Koszalin,54.19380020703934,16.19420414078675
PL76,PL,76,Kosierzewo,54.31013163913596,16.71243430749682
PL77,PL,77,gmina Przechlewo,53.90233646563814,17.232510939691444
PL78,PL,78,Gaworkowo,53.716403659742824,16.108198516320474
PL80,PL,80,Gdańsk,54.36883623188405,18.624491787439613
PL81,PL,81,Gdynia,54.50019699248121,18.523813684210527
PL82,PL,82,Śledziówka,54.00048262350937,19.180757069846678
PL83,PL,83,Płachty,54.09054009942005,18.24435998342999
PL84,PL,84,Chynowie,54.631662565445026,18.009098952879583
PL85,PL,85,Bydgoszcz,53.139196541786745,18.004401008645534
PL86,PL,86,Niedźwiedź,53.36784833091437,18.370750217706824
PL87,PL,87,Brzeźno,52.861523732856284,19.054089028026237
